Route,Date of Journey,Departure Time,Departure Station,Arrival Destination,Arrival Time,Actual Arrival Time,Journey Status,Reason for Delay,Delay in Minutes,Trip ID,Day Type
London Paddington to Reading,4/6/2024,8:45:00,London Paddington,Reading,9:45:00,9:45:00,On Time,No delay,0,15764,Weekend
Manchester Piccadilly to Liverpool Lime Street,4/6/2024,8:45:00,Manchester Piccadilly,Liverpool Lime Street,9:15:00,9:15:00,On Time,No delay,0,15765,Weekend
London Paddington to Reading,4/6/2024,9:00:00,London Paddington,Reading,10:00:00,10:00:00,On Time,No delay,0,15766,Weekend
London Paddington to Reading,4/7/2024,6:15:00,London Paddington,Reading,7:15:00,7:15:00,On Time,No delay,0,15767,Weekend
Liverpool Lime Street to Crewe,4/7/2024,6:15:00,Liverpool Lime Street,Crewe,6:50:00,6:50:00,On Time,No delay,0,15768,Weekend
Manchester Piccadilly to Liverpool Lime Street,4/7/2024,6:15:00,Manchester Piccadilly,Liverpool Lime Street,6:45:00,6:45:00,On Time,No delay,0,15769,Weekend
Liverpool Lime Street to Manchester Piccadilly,4/6/2024,9:15:00,Liverpool Lime Street,Manchester Piccadilly,9:45:00,9:45:00,On Time,No delay,0,15770,Weekend
Manchester Piccadilly to Liverpool Lime Street,4/6/2024,9:15:00,Manchester Piccadilly,Liverpool Lime Street,9:45:00,9:45:00,On Time,No delay,0,15771,Weekend
London St Pancras to Birmingham New Street,4/7/2024,6:30:00,London St Pancras,Birmingham New Street,7:50:00,7:50:00,On Time,No delay,0,15772,Weekend
London Euston to Manchester Piccadilly,4/7/2024,6:30:00,London Euston,Manchester Piccadilly,8:20:00,8:20:00,On Time,No delay,0,15773,Weekend
London Euston to Birmingham New Street,4/6/2024,9:30:00,London Euston,Birmingham New Street,10:50:00,10:50:00,On Time,No delay,0,15774,Weekend
Birmingham New Street to London St Pancras,4/7/2024,6:30:00,Birmingham New Street,London St Pancras,7:50:00,7:50:00,On Time,No delay,0,15775,Weekend
London Paddington to Reading,4/7/2024,7:45:00,London Paddington,Reading,8:45:00,8:45:00,On Time,No delay,0,15776,Weekend
London Paddington to Oxford,4/7/2024,7:45:00,London Paddington,Oxford,9:15:00,9:15:00,On Time,No delay,0,15777,Weekend
Liverpool Lime Street to Manchester Piccadilly,4/7/2024,6:45:00,Liverpool Lime Street,Manchester Piccadilly,7:15:00,7:15:00,On Time,No delay,0,15778,Weekend
Birmingham New Street to London St Pancras,4/7/2024,7:00:00,Birmingham New Street,London St Pancras,8:20:00,8:20:00,On Time,No delay,0,15779,Weekend
Manchester Piccadilly to Liverpool Lime Street,4/7/2024,7:15:00,Manchester Piccadilly,Liverpool Lime Street,7:45:00,7:45:00,On Time,No delay,0,15780,Weekend
London Paddington to Reading,4/7/2024,7:30:00,London Paddington,Reading,8:30:00,8:30:00,On Time,No delay,0,15781,Weekend
Bristol Temple Meads to Cardiff Central,4/7/2024,7:30:00,Bristol Temple Meads,Cardiff Central,7:55:00,7:55:00,On Time,No delay,0,15782,Weekend
Liverpool Lime Street to Manchester Piccadilly,4/6/2024,10:30:00,Liverpool Lime Street,Manchester Piccadilly,11:00:00,11:00:00,On Time,No delay,0,15783,Weekend
London Kings Cross to York,4/7/2024,7:30:00,London Kings Cross,York,9:20:00,,Cancelled,Traffic,,15784,Weekend
Reading to Swindon,4/7/2024,7:30:00,Reading,Swindon,8:15:00,8:15:00,On Time,No delay,0,15785,Weekend
London Kings Cross to York,4/7/2024,7:45:00,London Kings Cross,York,9:35:00,9:35:00,On Time,No delay,0,15786,Weekend
Manchester Piccadilly to Liverpool Lime Street,4/6/2024,10:45:00,Manchester Piccadilly,Liverpool Lime Street,11:15:00,11:15:00,On Time,No delay,0,15787,Weekend
London St Pancras to Birmingham New Street,4/6/2024,10:45:00,London St Pancras,Birmingham New Street,12:05:00,12:05:00,On Time,No delay,0,15788,Weekend
London Euston to Birmingham New Street,4/6/2024,11:00:00,London Euston,Birmingham New Street,12:20:00,12:20:00,On Time,No delay,0,15789,Weekend
Manchester Piccadilly to Liverpool Lime Street,4/7/2024,8:00:00,Manchester Piccadilly,Liverpool Lime Street,8:30:00,8:30:00,On Time,No delay,0,15790,Weekend
Liverpool Lime Street to London Euston,4/7/2024,8:00:00,Liverpool Lime Street,London Euston,10:15:00,,Cancelled,Signal Failure,,15791,Weekend
London Euston to Manchester Piccadilly,4/7/2024,7:45:00,London Euston,Manchester Piccadilly,9:35:00,9:35:00,On Time,No delay,0,15792,Weekend
Liverpool Lime Street to London Paddington,4/7/2024,8:45:00,Liverpool Lime Street,London Paddington,11:15:00,11:15:00,On Time,No delay,0,15793,Weekend
London Kings Cross to York,4/6/2024,11:45:00,London Kings Cross,York,13:35:00,13:35:00,On Time,No delay,0,15794,Weekend
London Paddington to Reading,4/7/2024,8:45:00,London Paddington,Reading,9:45:00,9:45:00,On Time,No delay,0,15795,Weekend
London Paddington to Reading,4/6/2024,11:45:00,London Paddington,Reading,12:45:00,12:45:00,On Time,No delay,0,15796,Weekend
London Kings Cross to York,4/7/2024,9:00:00,London Kings Cross,York,10:50:00,10:50:00,On Time,No delay,0,15797,Weekend
London Euston to Birmingham New Street,4/7/2024,9:00:00,London Euston,Birmingham New Street,10:20:00,10:20:00,On Time,No delay,0,15798,Weekend
Manchester Piccadilly to Liverpool Lime Street,4/7/2024,9:15:00,Manchester Piccadilly,Liverpool Lime Street,9:45:00,9:45:00,On Time,No delay,0,15799,Weekend
Manchester Piccadilly to Liverpool Lime Street,4/6/2024,12:45:00,Manchester Piccadilly,Liverpool Lime Street,13:15:00,13:15:00,On Time,No delay,0,15800,Weekend
Liverpool Lime Street to Manchester Piccadilly,4/6/2024,13:15:00,Liverpool Lime Street,Manchester Piccadilly,13:45:00,13:45:00,On Time,No delay,0,15801,Weekend
London Euston to Birmingham New Street,4/6/2024,13:15:00,London Euston,Birmingham New Street,14:35:00,14:35:00,On Time,No delay,0,15802,Weekend
Manchester Piccadilly to Liverpool Lime Street,4/6/2024,13:15:00,Manchester Piccadilly,Liverpool Lime Street,13:45:00,13:45:00,On Time,No delay,0,15803,Weekend
London St Pancras to Birmingham New Street,4/6/2024,13:15:00,London St Pancras,Birmingham New Street,14:35:00,14:35:00,On Time,No delay,0,15804,Weekend
Manchester Piccadilly to Liverpool Lime Street,4/6/2024,13:30:00,Manchester Piccadilly,Liverpool Lime Street,14:00:00,14:00:00,On Time,No delay,0,15805,Weekend
London Kings Cross to York,4/6/2024,13:45:00,London Kings Cross,York,15:35:00,15:35:00,On Time,No delay,0,15806,Weekend
Manchester Piccadilly to London Paddington,4/6/2024,13:45:00,Manchester Piccadilly,London Paddington,16:00:00,16:00:00,On Time,No delay,0,15807,Weekend
London Euston to Birmingham New Street,4/7/2024,10:45:00,London Euston,Birmingham New Street,12:05:00,12:05:00,On Time,No delay,0,15808,Weekend
York to Edinburgh,4/6/2024,13:45:00,York,Edinburgh,16:15:00,16:15:00,On Time,No delay,0,15809,Weekend
London Euston to Birmingham New Street,4/6/2024,13:45:00,London Euston,Birmingham New Street,15:05:00,15:05:00,On Time,No delay,0,15810,Weekend
London St Pancras to Birmingham New Street,4/6/2024,14:00:00,London St Pancras,Birmingham New Street,15:20:00,,Cancelled,Staff Shortage,,15811,Weekend
Manchester Piccadilly to Liverpool Lime Street,4/7/2024,11:00:00,Manchester Piccadilly,Liverpool Lime Street,11:30:00,11:56:00,Delayed,Staff Shortage,26,15812,Weekend
Liverpool Lime Street to Manchester Piccadilly,4/6/2024,14:15:00,Liverpool Lime Street,Manchester Piccadilly,14:45:00,14:45:00,On Time,No delay,0,15813,Weekend
London St Pancras to Birmingham New Street,4/7/2024,11:15:00,London St Pancras,Birmingham New Street,12:35:00,12:35:00,On Time,No delay,0,15814,Weekend
London St Pancras to Birmingham New Street,4/6/2024,14:15:00,London St Pancras,Birmingham New Street,15:35:00,15:35:00,On Time,No delay,0,15815,Weekend
London Kings Cross to York,4/7/2024,11:30:00,London Kings Cross,York,13:20:00,,Cancelled,Signal Failure,,15816,Weekend
London Paddington to Reading,4/6/2024,14:30:00,London Paddington,Reading,15:30:00,15:30:00,On Time,No delay,0,15817,Weekend
Birmingham New Street to Reading,4/6/2024,14:45:00,Birmingham New Street,Reading,16:15:00,16:15:00,On Time,No delay,0,15818,Weekend
Manchester Piccadilly to London Euston,4/6/2024,14:45:00,Manchester Piccadilly,London Euston,16:35:00,16:35:00,On Time,No delay,0,15819,Weekend
London Paddington to Reading,4/6/2024,15:00:00,London Paddington,Reading,16:00:00,16:39:00,Delayed,Technical Issue,39,15820,Weekend
Liverpool Lime Street to Manchester Piccadilly,4/7/2024,12:15:00,Liverpool Lime Street,Manchester Piccadilly,12:45:00,12:45:00,On Time,No delay,0,15821,Weekend
London Euston to Birmingham New Street,4/7/2024,12:30:00,London Euston,Birmingham New Street,13:50:00,13:50:00,On Time,No delay,0,15822,Weekend
London Paddington to Reading,4/7/2024,12:45:00,London Paddington,Reading,13:45:00,13:45:00,On Time,No delay,0,15823,Weekend
Birmingham New Street to Liverpool Lime Street,4/6/2024,15:45:00,Birmingham New Street,Liverpool Lime Street,17:15:00,17:15:00,On Time,No delay,0,15824,Weekend
Manchester Piccadilly to Liverpool Lime Street,4/7/2024,13:00:00,Manchester Piccadilly,Liverpool Lime Street,13:30:00,13:30:00,On Time,No delay,0,15825,Weekend
London Paddington to Reading,4/6/2024,16:00:00,London Paddington,Reading,17:00:00,17:00:00,On Time,No delay,0,15826,Weekend
Liverpool Lime Street to Manchester Piccadilly,4/7/2024,13:15:00,Liverpool Lime Street,Manchester Piccadilly,13:45:00,13:45:00,On Time,No delay,0,15827,Weekend
Birmingham New Street to Manchester Piccadilly,4/6/2024,16:15:00,Birmingham New Street,Manchester Piccadilly,17:35:00,17:35:00,On Time,No delay,0,15828,Weekend
London Kings Cross to York,4/7/2024,13:30:00,London Kings Cross,York,15:20:00,15:20:00,On Time,No delay,0,15829,Weekend
Manchester Piccadilly to Liverpool Lime Street,4/7/2024,13:30:00,Manchester Piccadilly,Liverpool Lime Street,14:00:00,14:00:00,On Time,No delay,0,15830,Weekend
Edinburgh Waverley to London Kings Cross,4/6/2024,15:30:00,Edinburgh Waverley,London Kings Cross,19:50:00,19:51:00,Delayed,Staff Shortage,1,15831,Weekend
London St Pancras to Birmingham New Street,4/7/2024,13:45:00,London St Pancras,Birmingham New Street,15:05:00,15:05:00,On Time,No delay,0,15832,Weekend
London St Pancras to Birmingham New Street,4/6/2024,17:00:00,London St Pancras,Birmingham New Street,18:20:00,18:20:00,On Time,No delay,0,15833,Weekend
Manchester Piccadilly to Liverpool Lime Street,4/6/2024,17:00:00,Manchester Piccadilly,Liverpool Lime Street,17:30:00,17:30:00,On Time,No delay,0,15834,Weekend
London Paddington to Reading,4/7/2024,14:00:00,London Paddington,Reading,15:00:00,15:00:00,On Time,No delay,0,15835,Weekend
London St Pancras to Birmingham New Street,4/7/2024,14:15:00,London St Pancras,Birmingham New Street,15:35:00,15:35:00,On Time,No delay,0,15836,Weekend
Manchester Piccadilly to Liverpool Lime Street,4/6/2024,17:30:00,Manchester Piccadilly,Liverpool Lime Street,18:00:00,18:00:00,On Time,No delay,0,15837,Weekend
Manchester Piccadilly to Liverpool Lime Street,4/7/2024,14:45:00,Manchester Piccadilly,Liverpool Lime Street,15:15:00,15:15:00,On Time,No delay,0,15838,Weekend
London St Pancras to Birmingham New Street,4/6/2024,17:45:00,London St Pancras,Birmingham New Street,19:05:00,19:05:00,On Time,No delay,0,15839,Weekend
London Euston to Manchester Piccadilly,4/6/2024,18:00:00,London Euston,Manchester Piccadilly,19:50:00,,Cancelled,Weather Conditions,,15840,Weekend
London Paddington to Reading,4/6/2024,18:15:00,London Paddington,Reading,19:15:00,19:15:00,On Time,No delay,0,15841,Weekend
London Kings Cross to York,4/6/2024,18:30:00,London Kings Cross,York,20:20:00,20:20:00,On Time,No delay,0,15842,Weekend
London Paddington to Reading,4/6/2024,18:30:00,London Paddington,Reading,19:30:00,19:30:00,On Time,No delay,0,15843,Weekend
London Euston to Birmingham New Street,4/6/2024,18:30:00,London Euston,Birmingham New Street,19:50:00,19:50:00,On Time,No delay,0,15844,Weekend
London St Pancras to Birmingham New Street,4/7/2024,15:45:00,London St Pancras,Birmingham New Street,17:05:00,17:05:00,On Time,No delay,0,15845,Weekend
Reading to Didcot,4/6/2024,18:45:00,Reading,Didcot,19:00:00,19:00:00,On Time,No delay,0,15846,Weekend
London Paddington to Reading,4/6/2024,18:45:00,London Paddington,Reading,19:45:00,19:45:00,On Time,No delay,0,15847,Weekend
London Euston to Birmingham New Street,4/7/2024,15:45:00,London Euston,Birmingham New Street,17:05:00,17:05:00,On Time,No delay,0,15848,Weekend
Liverpool Lime Street to Crewe,4/6/2024,18:45:00,Liverpool Lime Street,Crewe,19:20:00,19:20:00,On Time,No delay,0,15849,Weekend
London Euston to Birmingham New Street,4/7/2024,16:00:00,London Euston,Birmingham New Street,17:20:00,18:41:00,Delayed,Weather Conditions,81,15850,Weekend
Manchester Piccadilly to Liverpool Lime Street,4/6/2024,19:15:00,Manchester Piccadilly,Liverpool Lime Street,19:45:00,19:45:00,On Time,No delay,0,15851,Weekend
London Kings Cross to York,4/7/2024,16:15:00,London Kings Cross,York,18:05:00,18:05:00,On Time,No delay,0,15852,Weekend
Manchester Piccadilly to Liverpool Lime Street,4/7/2024,16:15:00,Manchester Piccadilly,Liverpool Lime Street,16:45:00,16:45:00,On Time,No delay,0,15853,Weekend
London Euston to Birmingham New Street,4/7/2024,16:15:00,London Euston,Birmingham New Street,17:35:00,17:35:00,On Time,No delay,0,15854,Weekend
Birmingham New Street to Manchester Piccadilly,4/7/2024,16:15:00,Birmingham New Street,Manchester Piccadilly,17:35:00,,Cancelled,Staff Shortage,,15855,Weekend
London Euston to Birmingham New Street,4/7/2024,16:30:00,London Euston,Birmingham New Street,17:50:00,17:50:00,On Time,No delay,0,15856,Weekend
Manchester Piccadilly to Liverpool Lime Street,4/6/2024,19:30:00,Manchester Piccadilly,Liverpool Lime Street,20:00:00,20:00:00,On Time,No delay,0,15857,Weekend
Liverpool Lime Street to London Euston,4/7/2024,17:30:00,Liverpool Lime Street,London Euston,19:45:00,20:15:00,Delayed,Technical Issue,30,15858,Weekend
London St Pancras to Leicester,4/6/2024,18:45:00,London St Pancras,Leicester,19:45:00,19:45:00,On Time,No delay,0,15859,Weekend
Liverpool Lime Street to London Euston,4/7/2024,16:45:00,Liverpool Lime Street,London Euston,19:00:00,19:00:00,On Time,No delay,0,15860,Weekend
London St Pancras to Birmingham New Street,4/6/2024,20:00:00,London St Pancras,Birmingham New Street,21:20:00,21:20:00,On Time,No delay,0,15861,Weekend
London St Pancras to Birmingham New Street,4/7/2024,17:00:00,London St Pancras,Birmingham New Street,18:20:00,18:20:00,On Time,No delay,0,15862,Weekend
Manchester Piccadilly to Liverpool Lime Street,4/7/2024,17:00:00,Manchester Piccadilly,Liverpool Lime Street,17:30:00,17:30:00,On Time,No delay,0,15863,Weekend
London Paddington to Reading,4/6/2024,20:00:00,London Paddington,Reading,21:00:00,21:00:00,On Time,No delay,0,15864,Weekend
Liverpool Lime Street to Manchester Piccadilly,4/6/2024,20:15:00,Liverpool Lime Street,Manchester Piccadilly,20:45:00,20:45:00,On Time,No delay,0,15865,Weekend
London St Pancras to Birmingham New Street,4/7/2024,17:15:00,London St Pancras,Birmingham New Street,18:35:00,18:35:00,On Time,No delay,0,15866,Weekend
Liverpool Lime Street to Manchester Piccadilly,4/6/2024,20:30:00,Liverpool Lime Street,Manchester Piccadilly,21:00:00,21:00:00,On Time,No delay,0,15867,Weekend
London Euston to Birmingham New Street,4/6/2024,20:30:00,London Euston,Birmingham New Street,21:50:00,21:50:00,On Time,No delay,0,15868,Weekend
London Euston to Birmingham New Street,4/6/2024,20:45:00,London Euston,Birmingham New Street,22:05:00,22:05:00,On Time,No delay,0,15869,Weekend
Manchester Piccadilly to Liverpool Lime Street,4/7/2024,18:45:00,Manchester Piccadilly,Liverpool Lime Street,19:15:00,19:15:00,On Time,No delay,0,15870,Weekend
London St Pancras to Birmingham New Street,4/7/2024,17:45:00,London St Pancras,Birmingham New Street,19:05:00,19:05:00,On Time,No delay,0,15871,Weekend
London Euston to Manchester Piccadilly,4/7/2024,18:00:00,London Euston,Manchester Piccadilly,19:50:00,19:50:00,On Time,No delay,0,15872,Weekend
London St Pancras to Leicester,4/7/2024,18:45:00,London St Pancras,Leicester,19:45:00,19:45:00,On Time,No delay,0,15873,Weekend
Manchester Piccadilly to Liverpool Lime Street,4/7/2024,17:45:00,Manchester Piccadilly,Liverpool Lime Street,18:15:00,18:15:00,On Time,No delay,0,15874,Weekend
Birmingham New Street to York,4/7/2024,18:30:00,Birmingham New Street,York,20:15:00,20:15:00,On Time,No delay,0,15875,Weekend
Birmingham New Street to Tamworth,4/7/2024,18:45:00,Birmingham New Street,Tamworth,19:05:00,19:05:00,On Time,No delay,0,15876,Weekend
Birmingham New Street to Nuneaton,4/7/2024,18:45:00,Birmingham New Street,Nuneaton,19:05:00,19:05:00,On Time,No delay,0,15877,Weekend
London St Pancras to Birmingham New Street,4/7/2024,18:45:00,London St Pancras,Birmingham New Street,20:05:00,20:05:00,On Time,No delay,0,15878,Weekend
London Kings Cross to York,4/7/2024,17:45:00,London Kings Cross,York,19:35:00,,Cancelled,Signal Failure,,15879,Weekend
London Kings Cross to York,4/7/2024,18:45:00,London Kings Cross,York,20:35:00,20:35:00,On Time,No delay,0,15880,Weekend
Birmingham New Street to Stafford,4/7/2024,17:45:00,Birmingham New Street,Stafford,18:15:00,18:15:00,On Time,No delay,0,15881,Weekend
London St Pancras to Birmingham New Street,4/6/2024,22:00:00,London St Pancras,Birmingham New Street,23:20:00,23:20:00,On Time,No delay,0,15882,Weekend
London Euston to Manchester Piccadilly,4/6/2024,22:15:00,London Euston,Manchester Piccadilly,0:05:00,0:05:00,On Time,No delay,0,15883,Weekend
Manchester Piccadilly to Liverpool Lime Street,4/7/2024,19:15:00,Manchester Piccadilly,Liverpool Lime Street,19:45:00,19:45:00,On Time,No delay,0,15884,Weekend
London Paddington to Reading,4/6/2024,22:15:00,London Paddington,Reading,23:15:00,23:15:00,On Time,No delay,0,15885,Weekend
London Euston to Birmingham New Street,4/6/2024,22:15:00,London Euston,Birmingham New Street,23:35:00,,Cancelled,Technical Issue,,15886,Weekend
London Kings Cross to York,4/7/2024,19:45:00,London Kings Cross,York,21:35:00,21:35:00,On Time,No delay,0,15887,Weekend
London Paddington to Reading,4/7/2024,20:00:00,London Paddington,Reading,21:00:00,21:00:00,On Time,No delay,0,15888,Weekend
London Euston to Birmingham New Street,4/7/2024,20:30:00,London Euston,Birmingham New Street,21:50:00,21:50:00,On Time,No delay,0,15889,Weekend
London Euston to York,4/7/2024,0:00:00,London Euston,York,1:50:00,2:09:00,Delayed,Signal Failure,19,15890,Weekend
Liverpool Lime Street to Manchester Piccadilly,4/7/2024,0:00:00,Liverpool Lime Street,Manchester Piccadilly,0:30:00,0:30:00,On Time,No delay,0,15891,Weekend
London Paddington to Reading,4/7/2024,21:30:00,London Paddington,Reading,22:30:00,22:30:00,On Time,No delay,0,15892,Weekend
London Euston to Birmingham New Street,4/7/2024,22:00:00,London Euston,Birmingham New Street,23:20:00,23:20:00,On Time,No delay,0,15893,Weekend
London Paddington to Reading,4/7/2024,1:00:00,London Paddington,Reading,2:00:00,2:00:00,On Time,No delay,0,15894,Weekend
London Euston to Manchester Piccadilly,4/7/2024,22:15:00,London Euston,Manchester Piccadilly,0:05:00,0:05:00,On Time,No delay,0,15895,Weekend
London Kings Cross to York,4/7/2024,22:15:00,London Kings Cross,York,0:05:00,0:05:00,On Time,No delay,0,15896,Weekend
Liverpool Lime Street to Manchester Piccadilly,4/7/2024,23:45:00,Liverpool Lime Street,Manchester Piccadilly,0:15:00,0:15:00,On Time,No delay,0,15897,Weekend
London St Pancras to Birmingham New Street,4/7/2024,1:45:00,London St Pancras,Birmingham New Street,3:05:00,3:05:00,On Time,No delay,0,15898,Weekend
London Kings Cross to Edinburgh Waverley,4/9/2024,16:00:00,London Kings Cross,Edinburgh Waverley,20:20:00,20:20:00,On Time,No delay,0,15899,Weekday
Manchester Piccadilly to London Paddington,4/7/2024,1:45:00,Manchester Piccadilly,London Paddington,4:00:00,4:00:00,On Time,No delay,0,15900,Weekend
Manchester Piccadilly to London Euston,4/7/2024,1:45:00,Manchester Piccadilly,London Euston,3:35:00,3:35:00,On Time,No delay,0,15901,Weekend
London Paddington to Reading,4/8/2024,23:00:00,London Paddington,Reading,0:00:00,0:00:00,On Time,No delay,0,15902,Weekday
London Paddington to Reading,4/7/2024,23:00:00,London Paddington,Reading,0:00:00,0:00:00,On Time,No delay,0,15903,Weekend
London Euston to Manchester Piccadilly,4/8/2024,23:30:00,London Euston,Manchester Piccadilly,1:20:00,1:20:00,On Time,No delay,0,15904,Weekday
Liverpool Lime Street to London Euston,4/8/2024,23:30:00,Liverpool Lime Street,London Euston,1:45:00,1:45:00,On Time,No delay,0,15905,Weekday
Liverpool Lime Street to Manchester Piccadilly,4/7/2024,23:30:00,Liverpool Lime Street,Manchester Piccadilly,0:00:00,0:00:00,On Time,No delay,0,15906,Weekend
London Euston to Birmingham New Street,4/7/2024,23:45:00,London Euston,Birmingham New Street,1:05:00,1:05:00,On Time,No delay,0,15907,Weekend
London Paddington to Reading,4/8/2024,23:45:00,London Paddington,Reading,0:45:00,0:45:00,On Time,No delay,0,15908,Weekday
Liverpool Lime Street to Manchester Piccadilly,4/8/2024,23:45:00,Liverpool Lime Street,Manchester Piccadilly,0:15:00,0:15:00,On Time,No delay,0,15909,Weekday
Reading to London Paddington,4/8/2024,23:45:00,Reading,London Paddington,0:10:00,0:10:00,On Time,No delay,0,15910,Weekday
York to Durham,4/8/2024,23:45:00,York,Durham,0:35:00,0:35:00,On Time,No delay,0,15911,Weekday
London Euston to York,4/8/2024,0:00:00,London Euston,York,1:50:00,2:30:00,Delayed,Signal Failure,40,15912,Weekday
London Paddington to Reading,4/7/2024,3:15:00,London Paddington,Reading,4:15:00,4:15:00,On Time,No delay,0,15913,Weekend
London Kings Cross to York,4/7/2024,4:00:00,London Kings Cross,York,5:50:00,5:50:00,On Time,No delay,0,15914,Weekend
Manchester Piccadilly to Liverpool Lime Street,4/8/2024,1:00:00,Manchester Piccadilly,Liverpool Lime Street,1:30:00,,Cancelled,Technical Issue,,15915,Weekday
Liverpool Lime Street to Manchester Piccadilly,4/7/2024,4:30:00,Liverpool Lime Street,Manchester Piccadilly,5:00:00,5:00:00,On Time,No delay,0,15916,Weekend
Manchester Piccadilly to Liverpool Lime Street,4/8/2024,1:30:00,Manchester Piccadilly,Liverpool Lime Street,2:00:00,2:40:00,Delayed,Signal Failure,40,15917,Weekday
Birmingham New Street to London St Pancras,4/7/2024,4:30:00,Birmingham New Street,London St Pancras,5:50:00,5:50:00,On Time,No delay,0,15918,Weekend
Manchester Piccadilly to Liverpool Lime Street,4/7/2024,4:45:00,Manchester Piccadilly,Liverpool Lime Street,5:15:00,5:15:00,On Time,No delay,0,15919,Weekend
Manchester Piccadilly to London Paddington,4/8/2024,1:45:00,Manchester Piccadilly,London Paddington,4:00:00,4:00:00,On Time,No delay,0,15920,Weekday
York to Durham,4/8/2024,1:45:00,York,Durham,2:35:00,,Cancelled,Staff Shortage,,15921,Weekday
Manchester Piccadilly to London Euston,4/8/2024,1:45:00,Manchester Piccadilly,London Euston,3:35:00,3:35:00,On Time,No delay,0,15922,Weekday
London Paddington to Reading,4/8/2024,2:00:00,London Paddington,Reading,3:00:00,3:00:00,On Time,No delay,0,15923,Weekday
Liverpool Lime Street to Manchester Piccadilly,4/8/2024,2:15:00,Liverpool Lime Street,Manchester Piccadilly,2:45:00,2:45:00,On Time,No delay,0,15924,Weekday
London Euston to Birmingham New Street,4/8/2024,2:15:00,London Euston,Birmingham New Street,3:35:00,3:35:00,On Time,No delay,0,15925,Weekday
Manchester Piccadilly to Liverpool Lime Street,4/8/2024,2:30:00,Manchester Piccadilly,Liverpool Lime Street,3:00:00,3:00:00,On Time,No delay,0,15926,Weekday
London Euston to Manchester Piccadilly,4/8/2024,2:30:00,London Euston,Manchester Piccadilly,4:20:00,4:20:00,On Time,No delay,0,15927,Weekday
London Paddington to Reading,4/7/2024,5:45:00,London Paddington,Reading,6:45:00,6:45:00,On Time,No delay,0,15928,Weekend
London Kings Cross to York,4/8/2024,2:45:00,London Kings Cross,York,4:35:00,4:35:00,On Time,No delay,0,15929,Weekday
London Kings Cross to York,4/7/2024,6:15:00,London Kings Cross,York,8:05:00,8:05:00,On Time,No delay,0,15930,Weekend
London Kings Cross to York,4/7/2024,6:30:00,London Kings Cross,York,8:20:00,8:20:00,On Time,No delay,0,15931,Weekend
Birmingham New Street to Stafford,4/7/2024,6:30:00,Birmingham New Street,Stafford,7:00:00,7:00:00,On Time,No delay,0,15932,Weekend
Manchester Piccadilly to Liverpool Lime Street,4/8/2024,3:30:00,Manchester Piccadilly,Liverpool Lime Street,4:00:00,4:03:00,Delayed,Weather Conditions,3,15933,Weekday
Manchester Piccadilly to Liverpool Lime Street,4/7/2024,6:30:00,Manchester Piccadilly,Liverpool Lime Street,7:00:00,7:00:00,On Time,No delay,0,15934,Weekend
London Kings Cross to York,4/7/2024,6:45:00,London Kings Cross,York,8:35:00,8:35:00,On Time,No delay,0,15935,Weekend
London Paddington to Reading,4/8/2024,4:00:00,London Paddington,Reading,5:00:00,5:00:00,On Time,No delay,0,15936,Weekday
London Paddington to Reading,4/7/2024,7:00:00,London Paddington,Reading,8:00:00,8:00:00,On Time,No delay,0,15937,Weekend
London Kings Cross to York,4/7/2024,9:30:00,London Kings Cross,York,11:20:00,11:20:00,On Time,No delay,0,15938,Weekend
London Euston to Birmingham New Street,4/7/2024,7:15:00,London Euston,Birmingham New Street,8:35:00,8:35:00,On Time,No delay,0,15939,Weekend
London Kings Cross to York,4/7/2024,7:15:00,London Kings Cross,York,9:05:00,9:05:00,On Time,No delay,0,15940,Weekend
Liverpool Lime Street to Crewe,4/7/2024,7:30:00,Liverpool Lime Street,Crewe,8:05:00,8:05:00,On Time,No delay,0,15941,Weekend
Liverpool Lime Street to Manchester Piccadilly,4/8/2024,4:30:00,Liverpool Lime Street,Manchester Piccadilly,5:00:00,5:00:00,On Time,No delay,0,15942,Weekday
London Euston to Manchester Piccadilly,4/7/2024,8:00:00,London Euston,Manchester Piccadilly,9:50:00,9:50:00,On Time,No delay,0,15943,Weekend
Reading to Oxford,4/7/2024,8:00:00,Reading,Oxford,8:25:00,8:25:00,On Time,No delay,0,15944,Weekend
London St Pancras to Birmingham New Street,4/7/2024,8:00:00,London St Pancras,Birmingham New Street,9:20:00,9:20:00,On Time,No delay,0,15945,Weekend
London St Pancras to Birmingham New Street,4/8/2024,5:00:00,London St Pancras,Birmingham New Street,6:20:00,6:20:00,On Time,No delay,0,15946,Weekday
Liverpool Lime Street to Manchester Piccadilly,4/8/2024,5:15:00,Liverpool Lime Street,Manchester Piccadilly,5:45:00,5:45:00,On Time,No delay,0,15947,Weekday
London Kings Cross to York,4/8/2024,5:15:00,London Kings Cross,York,7:05:00,7:05:00,On Time,No delay,0,15948,Weekday
Manchester Piccadilly to Liverpool Lime Street,4/8/2024,5:30:00,Manchester Piccadilly,Liverpool Lime Street,6:00:00,6:00:00,On Time,No delay,0,15949,Weekday
London Kings Cross to York,4/8/2024,5:45:00,London Kings Cross,York,7:35:00,7:35:00,On Time,No delay,0,15950,Weekday
Manchester Piccadilly to Liverpool Lime Street,4/7/2024,9:00:00,Manchester Piccadilly,Liverpool Lime Street,9:30:00,11:13:00,Delayed,Signal Failure,103,15951,Weekend
